date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2014-01-30 23:28:50,RoxArganza,,0,0,0,"Welcome guys sa house ni Mickey mouse! :) @Hongkong Disneyland http://instagram.com/p/jz7taGswqu/",,@Hongkong,,429033494438617089,https://twitter.com/RoxArganza/status/429033494438617089
2014-01-30 21:47:28,ozwah,slipperytit,0,0,0,"@slipperytit @cmkusher Correct. And the house of cards is teetering. A terrible time to buy, in my view.",,@slipperytit @cmkusher,,429007982081212417,https://twitter.com/ozwah/status/429007982081212417
2014-01-30 12:59:04,brendafen,,0,0,0,"I'm at Spaghetti House 意粉屋 (Tung Chung) w/ 2 others http://4sq.com/1eztDMQ",,,,428875007931187200,https://twitter.com/brendafen/status/428875007931187200
2014-01-30 12:55:18,brendafen,,0,0,0,"At The Spaghetti House — https://path.com/p/kNE0f",,,,428874058340384768,https://twitter.com/brendafen/status/428874058340384768
2014-01-30 10:39:27,superEirene,,0,0,1,"Going chinese for dinner! (@Imperial House Dim Sum) http://4sq.com/1ez6gD8",,@Imperial,,428839872284348416,https://twitter.com/superEirene/status/428839872284348416
2014-01-30 05:44:12,Sputniktechno,,0,0,0,"Old style lunch at Lin Heung Tea House, felt like going back in the 60s! #lonelyplanet #travel #HongKong",,,#lonelyplanet #travel #HongKong,428765567437127683,https://twitter.com/Sputniktechno/status/428765567437127683
2014-01-30 01:35:00,Triadi_Beatles,,0,0,0,"Jardine Schindler colleagues (with Richard at Devon House 德宏大廈) [pic] — https://path.com/p/2N2otG",,,,428702854535081985,https://twitter.com/Triadi_Beatles/status/428702854535081985
2014-01-29 13:13:45,dianarngo,,0,0,1,"i don't know any parent that doesn't let her child go to their bestfriends house. like srsly. -.- fml",,,,428516315544842244,https://twitter.com/dianarngo/status/428516315544842244
2014-01-29 07:51:23,SdotbellMMA,,0,0,0,"Cheap Hostel in Hong Kong lol (@Golden Island Guest House) http://4sq.com/1llpMfd",,@Golden,,428435188352561152,https://twitter.com/SdotbellMMA/status/428435188352561152
2014-01-29 05:46:02,BennyDelupo,,0,0,0,"The first family lunch of 2014 in Hong Kong. We celebrated so by dining at an authentic tea house… http://instagram.com/p/jvdSVrko2U/",,,,428403643617124353,https://twitter.com/BennyDelupo/status/428403643617124353
2014-01-28 18:48:54,ericleung97,,0,0,0,"#burgerjoint #hkburger #localburgerjoint #highlyrecommend #exploringhunghom @bs burger house http://instagram.com/p/juSFRACRxc/",,@bs,#burgerjoint #hkburger #localburgerjoint #highlyrecommend #exploringhunghom,428238268271190016,https://twitter.com/ericleung97/status/428238268271190016
2014-01-28 15:45:10,La6ofL7medya,,0,0,0,"Taiwan 2014 @Tea House http://instagram.com/p/jt9DnDJAS-/",,@Tea,,428192031543132160,https://twitter.com/La6ofL7medya/status/428192031543132160
2014-01-28 15:27:28,gkravago,,0,0,0,"Watching Tv #thelegalwife (@Green House) http://4sq.com/1mRRYls",,@Green,#thelegalwife,428187575552339968,https://twitter.com/gkravago/status/428187575552339968
2014-01-28 09:19:01,amandamohar,,0,0,1,"""The printer's closing for #CNY"" ""CNY is Friday. Today is Tues."" ""Yes and today's the day to clean your house. It's tradition."" #hkproblems",,,#CNY #hkproblems,428094855529525248,https://twitter.com/amandamohar/status/428094855529525248
2014-01-28 09:18:33,chocolatemuimui,,0,0,0,"I'm at Terra Coffee House (Macau, Macau SAR) [pic]: http://4sq.com/1buADth",,,,428094738307514368,https://twitter.com/chocolatemuimui/status/428094738307514368
2014-01-28 05:52:32,815042181Wang,,0,0,0,"A man had no money, no car, no house, but he for you so that you will marry him? pic.twitter.com/JGf21Y0ZZH",,,,428042890200096768,https://twitter.com/815042181Wang/status/428042890200096768
2014-01-28 05:43:42,kinlamhui,,0,0,0,"Two days more to Chinese New Year eve!! Can't wait!! Helping my mom decorating n cleaning the house !!!",,,,428040666484965376,https://twitter.com/kinlamhui/status/428040666484965376
2014-01-27 09:25:26,Maroonie82,,0,0,0,"Hong Kong I am in you! Not the smoothest of journeys in but checked in and ready to explore! (@Eaton House 逸東軒) http://4sq.com/1f0t6q3",,@Eaton,,427734082307760128,https://twitter.com/Maroonie82/status/427734082307760128
2014-01-27 07:40:02,agnesyaniar,,0,0,0,"Shark's Room, and yes, this is the meeting room (at Hutchison House 和記大廈) [pic] — https://path.com/p/1JezCa",,,,427707558359363584,https://twitter.com/agnesyaniar/status/427707558359363584
2014-01-26 14:54:01,charlieschroed,,0,0,0,"Red lanterns hang from ceiling of massive temporary opera house constructed of bamboo. #opera #HongKong #Chinapic.twitter.com/80M2B7tDJq",,,#opera #HongKong #Chinapic,427454385979785216,https://twitter.com/charlieschroed/status/427454385979785216
2014-01-26 12:26:04,Studio_Leung,,0,0,0,"Complete full house. Kao Jun Honn's Art Activist in Residence project #wooferten #aair2013 #yaumatei… http://instagram.com/p/jocroBKXEP/",,,#wooferten #aair2013 #yaumatei,427417151105167360,https://twitter.com/Studio_Leung/status/427417151105167360
2014-01-26 12:08:27,vivieeeen,,0,0,0,"So good. (@Qi House of Sichuan) http://4sq.com/1eVknFI",,@Qi,,427412716375248896,https://twitter.com/vivieeeen/status/427412716375248896
2014-01-26 09:58:01,MatthewSimms_,,1,0,0,"Vamos wawrinka (@McSorley's Ale House) http://4sq.com/MedVjS",,@McSorley,,427379892385480704,https://twitter.com/MatthewSimms_/status/427379892385480704
2014-01-26 06:18:58,jonasliu,,0,0,0,"Fresh chips on the house! How nice of them! #locofama #freeofcharge #delicious #appetizers… http://instagram.com/p/jnyqpSl6ZP/",,,#locofama #freeofcharge #delicious #appetizers,427324766698356736,https://twitter.com/jonasliu/status/427324766698356736
2014-01-26 05:28:17,gastronovoyage,,0,0,0,"Tea time Chinese style (@Lock Cha Tea House 樂茶軒) http://4sq.com/1aUeWWT",,@Lock,,427312013296283648,https://twitter.com/gastronovoyage/status/427312013296283648
2014-01-26 05:13:57,dawnbey,,0,0,0,"Lunch!! (@Italy House) http://4sq.com/1eU5ELi",,@Italy,,427308406777872384,https://twitter.com/dawnbey/status/427308406777872384
2014-01-26 01:58:07,alicewansichen,,0,0,0,"Ready to start the day with something 'special'? #durian #chocolate @Murray House 美利樓 http://instagram.com/p/jnU0WGIUR6/",,@Murray,#durian #chocolate,427259120845328384,https://twitter.com/alicewansichen/status/427259120845328384
2014-01-25 13:17:38,ABMckinley,,0,0,2,"That's me on my way home #ferry arrived at #Shekou mad house .. Hotel, chill waiting for midnight… http://instagram.com/p/jl9yf6qzG1/",,,#ferry #Shekou,427067742324539392,https://twitter.com/ABMckinley/status/427067742324539392
2014-01-25 10:20:10,DanielWanderman,,1,0,0,"Got myself some ""Lucky Buns"" @Market House Bakery http://instagram.com/p/jlpeoTCjjd/",,@Market,,427023078821220352,https://twitter.com/DanielWanderman/status/427023078821220352
2014-01-24 13:02:24,awalz,,0,0,0,"Shecky Wong in the house tonight! (@Takeout Comedy Club) [pic]: http://4sq.com/1mBwYz2",,@Takeout,,426701517648060416,https://twitter.com/awalz/status/426701517648060416
2014-01-24 12:30:09,ptreporter,,1,0,0,"Waiting for haircut (@QB House) http://4sq.com/1mBojwJ",,@QB,,426693403955703809,https://twitter.com/ptreporter/status/426693403955703809
2014-01-24 11:24:45,jimmyti,,0,0,0,"House of the dancing water! (@City of Dreams Macau 新濠天地 w/ @jalanbulisimsim) http://4sq.com/1l4DpiU",,@City @jalanbulisimsim,,426676944743448576,https://twitter.com/jimmyti/status/426676944743448576
2014-01-24 08:57:43,aalexchu,dieworkwear,0,0,0,"@dieworkwear I have nothing in my house that plays CDs anymore.",,@dieworkwear,,426639941255196672,https://twitter.com/aalexchu/status/426639941255196672
2014-01-24 06:23:50,yuyatyiupmps,,0,0,0,"Press lunch with new executive chef Nicola Canuti : mini chestnut tart with brandy @The Steak House… http://instagram.com/p/jipo1eEHIv/",,@The,,426601217222262784,https://twitter.com/yuyatyiupmps/status/426601217222262784
2014-01-24 04:01:24,BoomOnlineMag,,0,0,0,"TOMORROW 25 JAN! Legendary House DJ from Holland strikes Club CUBIC with massive force -… http://instagram.com/p/jiZVXeQ0Hq/",,,,426565369713942528,https://twitter.com/BoomOnlineMag/status/426565369713942528
2014-01-24 02:47:47,CalistaGoh,,0,0,0,"What a gorgeous day today! Out of the house to get in my sunshine! #hongkong #sunnydays #work @Apple… http://instagram.com/p/jiQ6WrA4MN/",,@Apple,#hongkong #sunnydays #work,426546844060377088,https://twitter.com/CalistaGoh/status/426546844060377088
2014-01-24 01:09:13,iTatuMz,,0,0,0,"Good morning Hong Kong>>View from my house^____^ @Visalia Garden 蔚山花園 http://instagram.com/p/jiFofTOz52/",,@Visalia,,426522041588924416,https://twitter.com/iTatuMz/status/426522041588924416
2014-01-23 15:02:16,samantha_ingrid,,0,0,0,"Cony with kiwi lol @Yin Kwong House http://instagram.com/p/jhALHMF32w/",,@Yin,,426369298479980544,https://twitter.com/samantha_ingrid/status/426369298479980544
2014-01-23 14:35:36,pardofelino,,0,0,0,"#perfect #lovers bebe hermosa te adoro con todo mi ser!! @Grand Blossom House 盈采華庭 http://instagram.com/p/jg9HtUScDC/",,@Grand,#perfect #lovers,426362584946978816,https://twitter.com/pardofelino/status/426362584946978816
2014-01-23 10:53:28,JohannesPong,,0,0,0,"#担担麵 #Sichuanese #Dandan #noodles #dandanmian #担々麺 @#呇 @Qi House of Sichuan http://instagram.com/p/jgjsw1q7Bw/",,@ @Qi,#担担麵 #Sichuanese #Dandan #noodles #dandanmian #担々麺 #呇,426306684135673856,https://twitter.com/JohannesPong/status/426306684135673856
2014-01-23 10:46:25,JohannesPong,,0,0,0,"The #door to the men's room at a #Sichuan #restaurant in #HongKong #HK @Qi House of Sichuan http://instagram.com/p/jgi5MPK7BS/",,@Qi,#door #Sichuan #restaurant #HongKong #HK,426304911526354944,https://twitter.com/JohannesPong/status/426304911526354944
2014-01-23 10:04:05,JohannesPong,,0,0,0,"#Sichuan #miso #fish @#呇 #HKfood #Sichuanese #HotMiso #HotMess @Qi House of Sichuan http://instagram.com/p/jgeDEmK7OG/",,@ @Qi,#Sichuan #miso #fish #呇 #HKfood #Sichuanese #HotMiso #HotMess,426294255901224960,https://twitter.com/JohannesPong/status/426294255901224960
2014-01-23 09:49:53,JohannesPong,,1,0,0,"#Sichuan style #aubergines #eggplant @#呇 #HKfood #茄子 #川風 @Qi House of Sichuan http://instagram.com/p/jgcbHcK7NG/",,@ @Qi,#Sichuan #aubergines #eggplant #呇 #HKfood #茄子 #川風,426290683918712832,https://twitter.com/JohannesPong/status/426290683918712832
2014-01-23 09:45:24,JohannesPong,,0,0,0,"#Red #greens @#呇 #Sichuanese #HKfood #香港 #川菜 @Qi House of Sichuan http://instagram.com/p/jgb6SmK7Mz/",,@ @Qi,#Red #greens #呇 #Sichuanese #HKfood #香港 #川菜,426289555864846336,https://twitter.com/JohannesPong/status/426289555864846336
2014-01-23 09:31:14,JohannesPong,,0,0,0,"DONE. #Sichuan #Chili #Dungeness #Crab #carcass @#呇 #HKfood @Qi House of Sichuan http://instagram.com/p/jgaShwq7LU/",,@ @Qi,#Sichuan #Chili #Dungeness #Crab #carcass #呇 #HKfood,426285990354096128,https://twitter.com/JohannesPong/status/426285990354096128
2014-01-23 09:22:56,JohannesPong,,0,0,0,"A #Tower of #Sichuan #Chili Dungeness #Crab @#呇 #HKfood @Qi House of Sichuan http://instagram.com/p/jgZVq3K7Kr/",,@ @Qi,#Tower #Sichuan #Chili #Crab #呇 #HKfood,426283899321597952,https://twitter.com/JohannesPong/status/426283899321597952
2014-01-23 06:39:21,JohannesPong,,0,0,0,"#呇 #Sichuan #lettuce #wraps #HKfood @Qi House of Sichuan http://instagram.com/p/jgGnlQq7Pp/",,@Qi,#呇 #Sichuan #lettuce #wraps #HKfood,426242733347725312,https://twitter.com/JohannesPong/status/426242733347725312
2014-01-23 06:14:39,kris_khalliwell,,0,0,0,"These days I don't leave the house unless Iv got a variety of snacks in my handbag #parenting",,,#parenting,426236516277317634,https://twitter.com/kris_khalliwell/status/426236516277317634
2014-01-23 06:03:17,yuyatyiupmps,,0,0,0,"scallion ginger beef 薑牛. Quite nice, sweet and spicy! @Qi House of Sichuan http://instagram.com/p/jgCfXQkHK9/",,@Qi,,426233654793486336,https://twitter.com/yuyatyiupmps/status/426233654793486336
2014-01-23 05:27:23,PenguinSix,,0,0,0,"Massive bus and tram backup in Central. @World-wide House 環球大廈 http://instagram.com/p/jf-YbOhyGB/",,@World,,426224620266868736,https://twitter.com/PenguinSix/status/426224620266868736
2014-01-23 04:52:29,yuyatyiupmps,,0,0,0,"Today's first task is a spicy one @Qi House of Sichuan http://instagram.com/p/jf6Y4vEHEc/",,@Qi,,426215840175124481,https://twitter.com/yuyatyiupmps/status/426215840175124481
2014-01-23 00:43:16,ciphermao,,0,0,0,"Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen Longgang Hakka Folk… http://instagram.com/p/jau3hglf_r/",,,,426153121560416256,https://twitter.com/ciphermao/status/426153121560416256
2014-01-23 00:43:02,ciphermao,,0,0,0,"The Elders’ Birthday Ceremony 兒孫祝壽 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency)… http://instagram.com/p/jauj1aFf_b/",,,,426153062273937408,https://twitter.com/ciphermao/status/426153062273937408
2014-01-23 00:42:45,ciphermao,,0,0,0,"The Elders’ Birthday Ceremony 兒孫祝壽 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency)… http://instagram.com/p/jauZWrlf_T/",,,,426152992078065664,https://twitter.com/ciphermao/status/426152992078065664
2014-01-23 00:42:29,ciphermao,,0,0,0,"The Elders’ Birthday Ceremony 兒孫祝壽 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency)… http://instagram.com/p/jauMellf_H/",,,,426152925099208706,https://twitter.com/ciphermao/status/426152925099208706
2014-01-23 00:42:14,ciphermao,,0,0,0,"Ancient Well (Xiatian Street) 古井（下天街） - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jatzeMFf-p/",,,,426152863774310400,https://twitter.com/ciphermao/status/426152863774310400
2014-01-23 00:42:01,ciphermao,,0,0,0,"Ancient Well (Xiatian Street) 古井（下天街） - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jatqshlf-a/",,,,426152806559784961,https://twitter.com/ciphermao/status/426152806559784961
2014-01-23 00:33:05,ciphermao,,0,0,0,"Oyster-shell Windows and Screens 蠡殼窗屏 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jalyU8Ff1B/",,,,426150557926322176,https://twitter.com/ciphermao/status/426150557926322176
2014-01-23 00:32:46,ciphermao,,0,0,0,"Oyster-shell Windows and Screens 蠡殼窗屏 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jalmCZlf0x/",,,,426150478997913600,https://twitter.com/ciphermao/status/426150478997913600
2014-01-23 00:29:58,ciphermao,,0,0,0,"Impression of the Round Houses 圍屋印象 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jajr1DlfyU/",,,,426149774086377472,https://twitter.com/ciphermao/status/426149774086377472
2014-01-23 00:29:43,ciphermao,,0,0,0,"Impression of the Round Houses 圍屋印象 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jajipAFfyM/",,,,426149712274915328,https://twitter.com/ciphermao/status/426149712274915328
2014-01-23 00:29:25,ciphermao,,0,0,0,"Impression of the Round Houses 圍屋印象 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jajdvhFfyH/",,,,426149634973896704,https://twitter.com/ciphermao/status/426149634973896704
2014-01-23 00:29:11,ciphermao,,0,0,0,"Impression of the Round Houses 圍屋印象 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jajQ1lFfxy/",,,,426149577096720384,https://twitter.com/ciphermao/status/426149577096720384
2014-01-23 00:28:27,ciphermao,,0,0,0,"Impression of the Round Houses 圍屋印象 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jai_fjFfxg/",,,,426149394967429120,https://twitter.com/ciphermao/status/426149394967429120
2014-01-23 00:28:00,ciphermao,,0,0,0,"Stone Mill 石磨 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jahruiFfwB/",,,,426149281138225152,https://twitter.com/ciphermao/status/426149281138225152
2014-01-23 00:27:48,ciphermao,,0,0,0,"Stone Mill 石磨 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jahgu-lf_w/",,,,426149230320050176,https://twitter.com/ciphermao/status/426149230320050176
2014-01-23 00:26:53,ciphermao,,0,0,0,"The Hakka oil-pressing Workshop 榨油坊 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jaeIEhlf7h/",,,,426149000408875010,https://twitter.com/ciphermao/status/426149000408875010
2014-01-23 00:26:35,ciphermao,,0,0,0,"The Hakka oil-pressing Workshop 榨油坊 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jad_6bFf7U/",,,,426148923796099072,https://twitter.com/ciphermao/status/426148923796099072
2014-01-23 00:26:20,ciphermao,,0,0,0,"The Hakka oil-pressing Workshop 榨油坊 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jad31qFf7J/",,,,426148862106292224,https://twitter.com/ciphermao/status/426148862106292224
2014-01-23 00:26:05,ciphermao,,0,0,0,"The Hakka oil-pressing Workshop 榨油坊 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jadwqrFf7B/",,,,426148798038286336,https://twitter.com/ciphermao/status/426148798038286336
2014-01-23 00:24:50,ciphermao,,0,0,0,"The Hakka oil-pressing Workshop 榨油坊 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jadW67lf6a/",,,,426148485046751232,https://twitter.com/ciphermao/status/426148485046751232
2014-01-23 00:24:40,ciphermao,,0,0,0,"Peripheral Dragon Hall (damaged) 外圍龍廳（已損毀） - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jacrAlFf5b/",,,,426148441086234624,https://twitter.com/ciphermao/status/426148441086234624
2014-01-23 00:23:50,ciphermao,,0,0,0,"The Resumed House 原居室 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 -… http://instagram.com/p/jaZWqhlf0w/",,,,426148230351822848,https://twitter.com/ciphermao/status/426148230351822848
2014-01-23 00:23:34,ciphermao,,0,0,0,"The Resumed House 原居室 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 -… http://instagram.com/p/jaZQLwlf0n/",,,,426148163796606976,https://twitter.com/ciphermao/status/426148163796606976
2014-01-23 00:23:23,ciphermao,,0,0,0,"The Resumed House 原居室 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 -… http://instagram.com/p/jaZFo_Ff0X/",,,,426148118829481984,https://twitter.com/ciphermao/status/426148118829481984
2014-01-23 00:23:07,ciphermao,,0,0,0,"The Resumed House 原居室 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 -… http://instagram.com/p/jaY_AqFf0R/",,,,426148049812201472,https://twitter.com/ciphermao/status/426148049812201472
2014-01-23 00:22:57,ciphermao,,0,0,0,"The Resumed House 原居室 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 -… http://instagram.com/p/jaY2OGFf0B/",,,,426148011056824320,https://twitter.com/ciphermao/status/426148011056824320
2014-01-23 00:21:44,ciphermao,,0,0,0,"The Resumed House 原居室 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 -… http://instagram.com/p/jaYsZgFfzv/",,,,426147701106180096,https://twitter.com/ciphermao/status/426147701106180096
2014-01-23 00:21:30,ciphermao,,0,0,0,"The Resumed House 原居室 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 -… http://instagram.com/p/jaYjGhFfzl/",,,,426147645015740416,https://twitter.com/ciphermao/status/426147645015740416
2014-01-23 00:21:16,ciphermao,,0,0,0,"Luo Qiuhang’s Former Residence 羅秋航故居 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jaYANpFfyw/",,,,426147583925706752,https://twitter.com/ciphermao/status/426147583925706752
2014-01-23 00:21:02,ciphermao,,0,0,0,"Luo Qiuhang’s Former Residence 羅秋航故居 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jaX2xqlfyg/",,,,426147524987351040,https://twitter.com/ciphermao/status/426147524987351040
2014-01-23 00:20:49,ciphermao,,0,0,0,"Luo Qiuhang’s Former Residence 羅秋航故居 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jaXpELlfyQ/",,,,426147473607131136,https://twitter.com/ciphermao/status/426147473607131136
2014-01-23 00:20:38,ciphermao,,0,0,0,"Luo Qiuhang’s Former Residence 羅秋航故居 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jaXgIilfyF/",,,,426147424907042816,https://twitter.com/ciphermao/status/426147424907042816
2014-01-23 00:20:19,ciphermao,,0,0,0,"Luo Qiuhang’s Former Residence 羅秋航故居 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jaXSDGFfxq/",,,,426147345957683200,https://twitter.com/ciphermao/status/426147345957683200
2014-01-23 00:20:06,ciphermao,,0,0,0,"Luo Qiuhang’s Former Residence 羅秋航故居 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jaWkJRlfwp/",,,,426147293822455808,https://twitter.com/ciphermao/status/426147293822455808
2014-01-23 00:19:56,ciphermao,,0,0,0,"Luo Qiuhang’s Former Residence 羅秋航故居 - Hehu Round House (The Crane Lake Villa; New Crane Lake… http://instagram.com/p/jaWYgtlfwZ/",,,,426147251707465728,https://twitter.com/ciphermao/status/426147251707465728
2014-01-23 00:19:28,ciphermao,,0,0,0,"Side Yard 側院 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jaWO9AFfwR/",,,,426147133071560704,https://twitter.com/ciphermao/status/426147133071560704
2014-01-23 00:19:13,ciphermao,,0,0,0,"Side Yard 側院 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jaWJmaFfwL/",,,,426147071142666240,https://twitter.com/ciphermao/status/426147071142666240
2014-01-23 00:18:58,ciphermao,,0,0,0,"Side Yard 側院 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jaWDYQFfwG/",,,,426147008123260928,https://twitter.com/ciphermao/status/426147008123260928
2014-01-23 00:18:30,ciphermao,,0,0,0,"Side Yard 側院 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jaV6wUFf_6/",,,,426146891379015681,https://twitter.com/ciphermao/status/426146891379015681
2014-01-23 00:18:07,ciphermao,,0,0,0,"Side Yard 側院 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jaV0V_Ff_t/",,,,426146793731407872,https://twitter.com/ciphermao/status/426146793731407872
2014-01-23 00:17:35,ciphermao,,0,0,0,"Side Yard 側院 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jaVnT_lf_f/",,,,426146660600016898,https://twitter.com/ciphermao/status/426146660600016898
2014-01-23 00:17:17,ciphermao,,0,0,0,"Side Yard 側院 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jaVbjrlf_O/",,,,426146581499621376,https://twitter.com/ciphermao/status/426146581499621376
2014-01-23 00:17:01,ciphermao,,0,0,0,"Ancient Well (Side Yard) 古井（側院） - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency)… http://instagram.com/p/jaVQZRFf_C/",,,,426146517624573952,https://twitter.com/ciphermao/status/426146517624573952
2014-01-23 00:16:44,ciphermao,,0,0,0,"Side Yard 側院 - Hehu Round House (The Crane Lake Villa; New Crane Lake Residency) 鶴湖新居 - Shenzhen… http://instagram.com/p/jaUzu8Ff-e/",,,,426146445507690496,https://twitter.com/ciphermao/status/426146445507690496
2014-01-23 00:16:30,ciphermao,,0,0,0,"The Periodical Market at Longgang (Longgang Market) 龍崗墟市 - Hehu Round House (The Crane Lake Villa; New… http://instagram.com/p/jYvSkolf4H/",,,,426146384564482048,https://twitter.com/ciphermao/status/426146384564482048
2014-01-23 00:15:00,ciphermao,,0,0,0,"The Periodical Market at Longgang (Longgang Market) 龍崗墟市 - Hehu Round House (The Crane Lake Villa; New… http://instagram.com/p/jYvMSAlf4C/",,,,426146007249076224,https://twitter.com/ciphermao/status/426146007249076224
2014-01-22 18:19:46,LeraDubrovina,,0,0,0,"I'm at The Upper House 奕居 (Central) http://4sq.com/1kYt3kx",,,,426056612449898496,https://twitter.com/LeraDubrovina/status/426056612449898496
2014-01-22 13:08:42,NouraAldeg,,0,0,0,"I'm at The Steak House Winebar + Grill w/ @saraaldeg @aljoharaamd http://4sq.com/1hiyIMx",,@saraaldeg @aljoharaamd,,425978329238634496,https://twitter.com/NouraAldeg/status/425978329238634496
2014-01-22 12:27:08,hkphotobox,,0,0,0,"Running Man in the house!! #金鐘國 #kimjongkook #ponyhk @Watermark http://instagram.com/p/jeJn62N5TZ/",,@Watermark,#金鐘國 #kimjongkook #ponyhk,425967867302260736,https://twitter.com/hkphotobox/status/425967867302260736
2014-01-22 11:36:27,imjoandoctor,,0,1,0,"RT @DanieldBassist: Construction of DJ's house, it will be finish on March. Same village sila ni Kath diba? Hihi. pic.twitter.com/HUfBFudsM0",,@DanieldBassist,,425955112461160448,https://twitter.com/imjoandoctor/status/425955112461160448
2014-01-22 11:11:51,bobbynzc,OhSengie,0,0,0,"@OhSengie rebel. in the house",,@OhSengie,,425948923241304064,https://twitter.com/bobbynzc/status/425948923241304064
2014-01-22 10:18:06,ciphermao,,0,0,0,"The Periodical Market at Longgang (Longgang Market) 龍崗墟市 - Hehu Round House (The Crane Lake Villa; New… http://instagram.com/p/jYvGvLFf37/",,,,425935397466935296,https://twitter.com/ciphermao/status/425935397466935296
